tema;data;link;duration;tags
Live de Python #149 - Flask + VueJS - Criando front para APIs em Flask com Giordane Oliveira;20201214;http://youtu.be/8ULr2J-Ymlo;7520;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, web, api, crud, django
Live de Python #148 - Criando aplicações web assíncronas com Starlette com Marcus Pereira;20201130;http://youtu.be/1yuv5SFR_zg;8950;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, web, api, crud, django
Live de Python #147 - Nameko e microsserviços com Flávio Pimenta;20201123;http://youtu.be/wOOjZ4kzPus;6180;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, web, api, crud, django
Live de Python #146 - Django 101: Saindo do zero com Renan Moura;20201116;http://youtu.be/6a2ID5Ld6is;5532;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, web, api, crud, django
Interfaces gráficas com Kivy - Live de Python #145;20201109;http://youtu.be/5ApbLrcUtlE;7665;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, android, ios, kivy, buildozer, garden, Linux, plyer
Live de Python #144 - Appium, automatizando aplicativo móveis;20201102;http://youtu.be/R1vm0RF66C8;6360;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, toga, beeware, android, ios
Live de Python #143 - BeeWare, aplicativos nativos para Android;20201027;http://youtu.be/sS0UI0yuLYQ;4326;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, toga, beeware, android, ios, mobile
Live de Python #142 - Cookiecutter, criando templates de projetos;20201019;http://youtu.be/iSMTQc1fTdE;4250;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, cookiecutter, tesmplates, jinja2
Live de Python #141 - Pergunte-me o que quiser sobre Python;20201012;http://youtu.be/s16chBNQURw;5000;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, wtforms, flask, jinja
Live de Python #140 - WTForms;20201005;http://youtu.be/LU2ZsBk_UhI;4995;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, wtforms, flask, jinja
Live de Python #139 - SQLAlchemy ORM;20200928;http://youtu.be/UgaybOYMKS0;5325;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, sqlalchemy, orm
Live de Python #138 - Bulindo no Flask com Geraldo Castro;20200921;http://youtu.be/eDTczIpZj-o;7910;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, Flask, GrupyRN, Geraldo Castro
Conhecendo ScanAPI com Camila Maia;20200909;http://youtu.be/hhZvE-CVmr8;6826;live, livedepython, conhecendo, eduardo mendes, PHP, PokemaoBR
Live de Python #137 - Datas e horários com Pendulum;20200907;http://youtu.be/iy3fGZEK8f4;5270;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, datetime, pendulum, calendar, testing, calendario, testes
Live de Python #136 - Functools;20200831;http://youtu.be/5cJzN0zlR5Q;6235;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, funcional, functools, itertools, toolz
Live de Python #135 - Bate papo sobre testes;20200825;http://youtu.be/e9r-6hwchCg;6104;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, testes, API, httpx
Selenium com Python #Final - Retrospectiva + Certificado;20200818;http://youtu.be/4ORQfpvn87o;3746;python, live de python, dunossauro, eduardo mendes, curso, selenium
Live de Python #134 - Testes em APIs REST;20200817;http://youtu.be/RPWQoAFZelo;9820;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, testes, API, httpx
Live de Python #133 - Selenium + pytest;20200810;http://youtu.be/e-K_JK7ozFg;6596;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, selenium, pytest
Live de Python #132 - Novidades no python 3.9;20200803;http://youtu.be/vfZKtassBcw;4519;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, 3.9, novidades
Conhecendo xonsh com @dunossauro;20200729;http://youtu.be/thxOAuy17sw;5912;live, livedepython, conhecendo, eduardo mendes, PHP, PokemaoBR
Live de Python #131 - Bate papo com inscritos + Dúvidas com código;20200727;http://youtu.be/f-lGkux1Y0I;4627;%live_de_python%eduardo_mendes%, Live de Python, Eduardo Mendes, Python, Python 3, bate-papo, dúvidas
Conhecendo PHP com @PokemaoBR;20200722;http://youtu.be/xxWJKRxT9mM;5746;live, livedepython, conhecendo, eduardo mendes, PHP, PokemaoBR
